행정동_코드,행정동_코드_명,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구,2030_유동인구비율
11215750,중곡2동,4538698.0,691415.5,812138.5,1503554.0,0.3312742993695549
11215760,중곡3동,4598012.5,623033.75,824827.5,1447861.25,0.31488849801952473
11215770,중곡4동,6415960.25,816900.25,975541.75,1792442.0,0.2793723667474405
11215780,능동,2089426.0,404698.25,430064.5,834762.75,0.39951773836450777
11215810,광장동,6227704.0,620597.0,659006.5,1279603.5,0.20546954383188412
11215820,자양1동,7714602.0,1460763.0,1355534.25,2816297.25,0.3650606019597641
11215830,자양2동,5148038.75,626617.0,871226.75,1497843.75,0.2909542493245607
11215840,자양3동,6585016.25,922873.0,978732.0,1901605.0,0.2887775713537533
11215847,자양4동,8723210.25,1845009.25,1584318.25,3429327.5,0.3931267734834203
11215850,구의1동,6794360.25,1316331.5,1336875.25,2653206.75,0.39050133528024217
11215860,구의2동,4932354.75,614903.5,716834.75,1331738.25,0.27000050026815287
11215870,구의3동,6256683.75,801896.0,941787.75,1743683.75,0.2786913674516472
11230536,용신동,14066266.5,2604874.5,2447381.0,5052255.5,0.3591753007096801
11230545,제기동,12002903.75,2882419.0,1517400.25,4399819.25,0.3665629035807273
11230560,전농1동,11256888.75,2229093.5,1584592.0,3813685.5,0.3387868162062097
11230570,전농2동,2324346.25,272040.25,297467.25,569507.5,0.24501835731229804
11230600,답십리1동,6871706.5,901003.5,1169729.25,2070732.75,0.30134185009211323
11230610,답십리2동,5696555.5,623662.75,950240.25,1573903.0,0.2762902950739267
11230650,장안1동,8856044.25,1192072.0,1592008.5,2784080.5,0.31437066272562947
11230660,장안2동,7691079.75,884121.25,1155599.25,2039720.5,0.2652060004968743
11230705,청량리동,6101235.25,924674.75,795829.5,1720504.25,0.28199277351254404
11230710,회기동,4533961.25,1901423.5,509976.0,2411399.5,0.5318526928301384
11230720,휘경1동,5815782.75,1809647.75,887646.0,2697293.75,0.4637886018008496
11230730,휘경2동,4325199.25,1354870.75,539700.25,1894571.0,0.43803091845999925
11230740,이문1동,10193823.0,3653644.5,1372258.5,5025903.0,0.4930341639245649
11230750,이문2동,3384946.75,563815.75,409565.0,973380.75,0.2875616137831415
11260520,면목2동,5440290.75,676880.75,831432.5,1508313.25,0.2772486470507114
11260540,면목4동,4657417.0,536288.25,687016.5,1223304.75,0.2626573377475111
11260550,면목5동,2383047.75,254796.75,379624.5,634421.25,0.2662226344394484
11260565,면목본동,9810360.5,1421243.5,1650209.25,3071452.75,0.31308255695598547
11260570,면목7동,6114124.0,717173.5,942499.25,1659672.75,0.2714489843516422
11260575,면목3?8동,6242805.75,957841.5,968314.25,1926155.75,0.3085400743087353
11260580,상봉1동,4635460.5,548529.5,763148.75,1311678.25,0.28296611523278
11260590,상봉2동,6962484.75,1368803.25,1499091.0,2867894.25,0.41190671907755344
11260600,중화1동,4844460.25,590829.25,763172.25,1354001.5,0.2794948105931925
11260610,중화2동,7723290.0,999378.0,1193613.75,2192991.75,0.28394528109134837
11260620,묵1동,6986751.25,919699.25,993008.0,1912707.25,0.2737620363971023
11260630,묵2동,5178414.0,754079.5,792552.25,1546631.75,0.29866900367564275
11260655,망우본동,11423050.5,1355434.0,1765001.5,3120435.5,0.2731700695886795
11260660,망우3동,3964733.75,497364.75,577193.75,1074558.5,0.271029170622113
11260680,신내1동,4955296.25,477830.5,692439.0,1170269.5,0.23616539576216053
11260690,신내2동,1695112.5,165061.5,243304.25,408365.75,0.24090775685979543
11290525,성북동,4200586.0,674515.25,619821.0,1294336.25,0.30813230582590145
11290555,삼선동,10101068.0,2284731.5,1496128.75,3780860.25,0.3743030192450937
11290575,동선동,7729481.75,2253347.75,1123802.25,3377150.0,0.4369180378749196
11290580,돈암1동,2278468.25,276164.0,284611.25,560775.25,0.2461194049993894
11290590,돈암2동,2782877.75,290537.0,345015.75,635552.75,0.2283796871781378
11290600,안암동,7634961.75,3080183.75,990613.5,4070797.25,0.5331784733564644
11290610,보문동,5282001.75,957977.25,837626.75,1795604.0,0.3399476344361302
11290620,정릉1동,4437720.75,500328.5,533758.75,1034087.25,0.23302215444719004
11290630,정릉2동,5622647.75,754054.5,775484.0,1529538.5,0.27203171317285524
11290640,정릉3동,2677771.5,762545.5,295105.25,1057650.75,0.39497423510557195
11290650,정릉4동,3357450.75,543335.5,401731.5,945067.0,0.2814835035182571
11290660,길음1동,6217286.75,609273.25,653034.0,1262307.25,0.20303185308285804
11290685,길음2동,4976708.75,574804.75,667330.0,1242134.75,0.2495896007577297
11290705,종암동,10952724.25,1850449.75,1384639.75,3235089.5,0.29536847875997607
11290715,월곡1동,8189933.5,1038817.0,1041833.5,2080650.5,0.2540497428947378
11290725,월곡2동,6289909.25,1137576.5,877261.25,2014837.75,0.32032858820657867
11290760,장위1동,6552491.0,785500.75,879799.25,1665300.0,0.25414762111081113
11290770,장위2동,5577223.0,759167.5,853251.5,1612419.0,0.2891078588752861
11290780,장위3동,3703049.25,511661.75,542816.25,1054478.0,0.28475937769393694
11290810,석관동,10243020.5,1614518.0,1437145.75,3051663.75,0.2979261585974567
