행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11110640,이화동,4441114095.75,477810.75,458967.0,267934.0,0.3166637374101827,11~14,7348.75,125395.75,142538.25,81890.0,69549.75,32244.5,56695844.0,922833619.5,1045665595.25,833917972.25,640839153.0,403235721.25,4575627.0,435120231.0,1369505082.0,1268196814.25,1205511515.25,158204826.25,4,0.9329409301735302,0.5837761756291847,9294.713640808626,0.0010302880991908594,0.09797546778102273,0.30836971365148474,0.2855582601364875,0.2714434912635176,0.035622779068296584
11110650,혜화동,4500333290.0,452630.0,444940.5,276846.25,0.318076652755795,14~17,13197.0,171652.5,105193.75,59622.0,67392.5,27882.75,128353212.0,1675931471.25,1006540541.25,575937592.75,627802151.75,262185284.25,12246816.75,200735781.25,1283362951.75,1418412460.0,1411812326.0,173762954.25,4,0.9514216081686763,0.6222095988115265,9942.631487086583,0.002721313280777033,0.04460464777043213,0.285170646050084,0.3151794252998537,0.31371283747742157,0.03861113012143152
11110670,창신1동,611748268.5,86054.75,83378.75,32929.5,0.28309782586934545,11~14,819.25,13417.25,19512.25,17884.0,17019.5,14726.5,5686113.5,92558046.25,133404690.25,114533735.75,114656636.5,114001777.25,1889632.75,94845682.5,171626777.25,163484533.75,149243322.25,30658320.0,4,0.9779392075529825,0.3949387583766847,7108.826282105288,0.0030889057596082104,0.1550403775274437,0.2805513085812682,0.2672415144727132,0.24396198556629017,0.05011590809267652
11110680,창신2동,129334856.25,22920.5,22455.0,9600.25,0.30006439483868763,14~17,202.25,4135.0,5465.25,3888.25,4678.0,4086.25,1173698.25,23607573.75,28832503.5,19964958.75,23452291.25,23722957.0,32498.75,19462850.5,36560106.0,38629453.75,31828226.25,2821721.0,4,0.9070360983750542,0.4275328434647072,5642.758938504832,0.00025127603603765554,0.1504841855035502,0.2826779033900229,0.2986778264579391,0.2460916351001086,0.021817173512341536
11110690,창신3동,44330552.5,5169.0,5069.0,1923.25,0.36542174303787883,11~14,19.75,686.5,1236.75,1789.5,909.0,427.5,169825.25,4557440.25,8127838.75,12673213.0,8908334.0,4420436.0,0.0,8473269.25,16224385.25,12841429.5,6791468.5,0.0,4,0.9432246589500642,0.3794140856184652,8576.233797639776,0.0,0.19113836332177453,0.3659865337793839,0.28967447450604183,0.15320062839279974,0.0
11110700,숭인1동,36504401.25,4464.5,4294.75,1548.0,0.35781585239297076,14~17,58.5,341.0,1207.0,1439.75,747.5,501.0,352682.0,2127214.0,6974140.5,10676837.5,5280956.25,4492305.25,0.0,5422758.0,11352095.25,12540766.5,7016834.25,171947.25,4,0.9349189864107235,0.3604400721811514,8176.593403516631,0.0,0.14855079974774274,0.31097880971270553,0.3435412188824765,0.19221885607560815,0.0047103155814670426
11110710,숭인2동,378468396.75,71827.5,69635.0,31413.25,0.3606502372961552,11~14,575.75,14287.0,17126.25,12105.5,14117.5,11423.0,2776133.5,69327417.75,87450210.25,66161456.25,74332565.0,57641705.25,5851.5,67235385.75,136195075.0,104021020.75,68607741.5,2403322.25,4,0.9222524596032838,0.4511129460759675,5269.1294664299885,1.546100031138201e-05,0.1776512552365444,0.3598585143952313,0.274847309955742,0.18127733276847244,0.006350126643698421
11140520,소공동,19421033610.25,1991456.75,1840948.25,922030.5,0.47861642177628294,11~14,5040.0,268154.5,653876.0,530451.0,298116.0,85310.75,26138804.0,1358899054.5,4501388294.25,5448299343.5,3603580578.0,1650457603.0,7114182.25,4203830947.75,9277035376.5,4298219421.75,1376896766.75,257936915.25,4,0.780003462508268,0.5008454202881586,9752.174437255542,0.0003663132659553861,0.21645763207635402,0.47767979617746925,0.22131774796381037,0.07089719292918086,0.01328131758723009
11140540,회현동,9217725306.75,1218621.5,1099908.75,481012.25,0.489115714210342,11~14,2061.5,117787.75,363224.5,304341.5,196727.5,115766.0,12197372.75,675846932.75,2176967442.5,1873439730.0,1278665719.25,963329865.0,4110083.0,2029989211.0,4511425061.75,1878203101.5,686640430.25,107357419.25,4,0.9156342489958503,0.43732014132990576,7564.059313535827,0.00044588907384669497,0.2202266983930916,0.48942932357144037,0.20375993414824592,0.07449130966695044,0.011646845146424986
11140550,명동,22129618886.25,2453056.25,2185700.75,1089211.0,0.42001321811235437,11~14,15140.75,393363.0,695848.0,555849.25,356832.25,168667.5,138057838.25,3207007282.25,5280049165.75,4375629172.25,2877622449.25,1629890928.0,2934644.0,4032465831.25,9299696454.0,4805330586.5,3344790007.5,644401363.0,4,0.9514857397207479,0.49833491615903963,9021.243963015524,0.00013261159241307176,0.18222030175836101,0.4202375333168646,0.21714475116811616,0.15114539589193962,0.029119406272305567
