행정동_코드,행정동_코드_명,업종_코드,업종명,업종_라벨,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,집계_기간수,분기별_매출안정성,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중
11530760,개봉3동,CS100006,패스트푸드점,패스트푸드,47108529.75,4549.25,4517.75,1163.25,0.3767517855081606,17~21,22.75,356.5,806.75,1093.25,1147.25,1091.25,180437.25,4308058.75,8726203.5,10930746.0,11429813.25,10212620.75,574880.25,1458650.5,9443952.75,12607502.75,17706893.25,5316650.25,4,0.9284641330606821,0.2574843672181949,10355.229928010112,0.012203315472820503,0.030963617581378666,0.20047224568709873,0.2676267507584441,0.37587446146098413,0.11285960903927383
11530770,오류1동,CS100006,패스트푸드점,패스트푸드,545404206.5,48364.5,48001.5,24356.5,0.39484350758866626,17~21,1030.5,11120.25,13236.25,8587.25,7394.25,6633.0,8953440.75,106583677.5,140324863.75,97028231.5,102208532.75,79558015.75,0.0,24373306.0,133589878.0,104476777.75,216042252.5,66921992.25,4,0.9370663718395491,0.5074112267324979,11276.953271511129,0.0,0.04468851855105742,0.24493738113477495,0.1915584377694014,0.39611401952030967,0.12270164302445657
11530780,오류2동,CS100006,패스트푸드점,패스트푸드,202720238.25,18702.25,18461.75,7799.75,0.3956146171451259,17~21,369.5,2969.0,4830.75,4568.75,3319.5,2404.25,2955698.75,27543603.25,47835507.5,49619188.0,39115924.75,28499265.25,25979.0,10084904.5,61241089.75,43810359.75,80108940.25,7448965.0,4,0.9483177166257811,0.422481617398134,10839.35025197503,0.00012815198040543935,0.049747891907876644,0.3020965754513166,0.2161124124961411,0.39516991959730985,0.03674504856695037
11530790,수궁동,CS100006,패스트푸드점,패스트푸드,12631980.75,575.5,563.5,229.5,0.48875813611830915,17~21,11.0,43.25,186.25,86.75,157.25,79.0,247456.75,939754.75,2756754.25,2217097.5,3154429.75,1768379.5,0.0,111129.5,1992092.5,2077588.0,5910214.75,2540956.0,4,0.8816135691551891,0.4072759538598048,21949.57558644657,0.0,0.00879747224123976,0.1577023065048607,0.16447048496333402,0.4678771181629611,0.2011526181276044
11545510,가산동,CS100006,패스트푸드점,패스트푸드,2080105684.25,186484.25,170160.0,103098.5,0.42494348139220495,11~14,401.75,36598.75,66499.75,34452.75,22726.25,9480.75,3478161.25,357400362.25,710776902.5,346105487.0,221110793.25,93542869.75,144640.75,167501501.0,884821310.25,311482640.5,626345304.75,89810287.0,4,0.9380466859168828,0.6058915138692995,11154.323672106357,6.953528904573494e-05,0.080525476310303,0.4253732475948836,0.14974366103533232,0.3011122509267284,0.043175828843706986
11545610,독산1동,CS100006,패스트푸드점,패스트푸드,410540910.25,36539.75,35256.25,18240.75,0.3554237996043702,11~14,349.5,6052.5,12188.25,7126.75,5650.75,3888.5,3143595.5,60685886.25,124163897.5,76500326.75,60816433.25,38376987.75,166852.5,16933893.0,146093797.0,103205970.0,138287625.25,5852772.5,4,0.9092876581103856,0.5173763517106896,11235.460293242291,0.0004064211284044621,0.04124776015546918,0.3558568545849323,0.25139022061687455,0.33684249680693057,0.014256246707388889
11545620,독산2동,CS100006,패스트푸드점,패스트푸드,36384013.75,1076.75,967.25,256.5,0.45059869626301885,17~21,17.25,55.0,201.5,192.25,267.75,233.5,450050.0,2530766.5,6203984.0,5632608.5,6984745.25,6080389.0,0.0,606692.25,7260131.25,9765543.5,16139811.0,2611835.75,4,0.8864157130716689,0.26518480227448954,33790.58625493383,0.0,0.016674692741946318,0.19954179052056895,0.2684020396182925,0.44359622088148537,0.07178525623770687
11545630,독산3동,CS100006,패스트푸드점,패스트푸드,58146061.75,3665.5,3663.25,1521.0,0.5609188118904056,17~21,23.25,501.0,1020.0,467.25,894.5,757.25,366620.5,7321601.75,16241091.75,7439952.5,14153873.5,12359742.0,0.0,0.0,7022232.0,10331730.75,32609156.5,8182942.5,4,0.957170946374841,0.4152050774585409,15863.064179511663,0.0,0.0,0.12076883263723359,0.17768582151653634,0.5608145335827495,0.1407308122634806
11545640,독산4동,CS100006,패스트푸드점,패스트푸드,80332322.5,4999.5,4982.0,2280.5,0.5563988649518758,17~21,26.25,613.5,1667.0,871.75,1054.5,749.0,575818.5,10692309.0,26303989.5,14641929.5,16586894.5,11079512.0,34499.75,42383.25,9000121.5,12904162.5,44723466.0,13627689.5,4,0.9757312717537961,0.45774789241268565,16068.071307130713,0.00042946287280565054,0.0005275989624226288,0.11203611721794798,0.16063474948082074,0.5567306484883466,0.16964142297765636
11545670,시흥1동,CS100006,패스트푸드점,패스트푸드,409273682.0,28759.0,28068.25,11101.5,0.38754916645251747,17~21,436.5,4044.25,7057.25,6459.0,6685.0,3386.25,4154610.25,41137609.75,82648582.75,77509885.5,101975200.25,55483125.0,209301.0,34348118.0,116454466.25,83706852.75,158917627.25,15637316.75,4,0.9234123197586968,0.39551806756744723,14231.151361312981,0.0005113961859878398,0.08392457055179033,0.28453934707191847,0.20452537368381288,0.3882918307217223,0.03820748178476817
11545700,시흥4동,CS100006,패스트푸드점,패스트푸드,62485661.5,3719.75,3715.5,1234.0,0.6113494284038803,17~21,4.0,306.0,928.0,629.75,1008.75,839.0,99507.75,5418403.25,16298907.25,10282151.75,17210299.75,12658291.0,0.0,0.0,6213496.25,11358280.75,38108803.25,6805081.25,4,0.9333399022237298,0.3321221908222312,16798.349754687813,0.0,0.0,0.09943875284092175,0.18177419390846972,0.6098807684063647,0.10890628484424383
11545710,시흥5동,CS100006,패스트푸드점,패스트푸드,81195641.0,4768.25,4589.75,1455.5,0.48137263577085015,17~21,70.25,606.0,849.5,954.75,1321.25,788.0,769878.0,7588310.25,12064628.0,15718350.5,19919913.75,14309828.0,0.0,1208903.75,17351855.5,18236139.0,39013170.75,5385572.0,4,0.9814510472866101,0.31711966882727816,17028.394274629056,0.0,0.01488877648000833,0.21370427385381438,0.22459504938202285,0.4804835613034941,0.0663283389806603
11560515,영등포본동,CS100006,패스트푸드점,패스트푸드,3346788060.0,360375.25,359920.25,190291.5,0.3473679579804688,17~21,3597.5,76750.0,113541.5,64122.25,57743.0,44166.0,30707704.75,678756437.5,1025349387.5,628139473.75,564520411.75,391993458.5,72158377.5,363555297.75,756223623.25,576131782.0,1161984158.75,416734820.75,4,0.9654021896563393,0.5287046227601809,9286.953141204896,0.021560486115753622,0.10862812082280465,0.22595503799245656,0.172144686688048,0.347193828207335,0.12451784017360215
11560535,영등포동,CS100006,패스트푸드점,패스트푸드,2661140370.0,171014.0,165708.5,91437.0,0.33849745236809936,17~21,1279.25,33352.0,58085.0,38057.0,21772.25,13163.0,16390876.0,464611498.5,881134037.75,561330805.0,346775828.75,207063422.25,37668612.0,197264185.0,760599915.75,506213917.75,901546168.25,257847571.25,4,0.8859847913468765,0.551794265230812,15560.950390026548,0.014155063905929922,0.07412768872466506,0.2858172850724143,0.19022443289979477,0.3387818915580165,0.09689363783917945
11560540,여의동,CS100006,패스트푸드점,패스트푸드,2170835019.0,124479.0,100957.25,59362.0,0.5052264261663746,11~14,556.25,19600.0,39762.0,21487.25,13162.5,6389.25,5861065.75,234849295.25,514137915.0,297517899.0,185219138.5,90282612.5,1942716.5,150926800.75,1096477448.5,245596869.75,626683837.5,49207346.0,4,0.9222015782724329,0.5879914518273823,17439.367435471042,0.0008949166947264913,0.06952476785616107,0.5050947856024061,0.11313474658389044,0.28868330942472237,0.022667473838093637
11560550,당산1동,CS100006,패스트푸드점,패스트푸드,464191202.5,41174.0,38693.5,25982.5,0.35011140260232293,11~14,254.25,10350.5,15632.0,6055.0,3997.75,2404.0,2252865.75,100930517.75,150220208.25,64026553.0,49949893.0,39250233.25,0.0,46843460.0,162636946.0,108136873.0,136030153.0,10543770.5,4,0.9671133260343558,0.6714952123741714,11273.891351338223,0.0,0.10091414862607181,0.3503662825234177,0.23295760974703092,0.2930476757581376,0.022714283345341944
11560560,당산2동,CS100006,패스트푸드점,패스트푸드,108411671.25,11507.75,10917.5,5935.75,0.3301552850281984,11~14,108.25,2049.0,3886.75,1969.0,1774.0,1130.5,694663.0,13788906.5,27838039.0,19045820.5,15741950.25,11318831.25,0.0,20766796.5,33741141.5,20011311.25,32961005.0,931417.0,4,0.9314040794445496,0.5436913212731852,9420.75307944646,0.0,0.19155498905750887,0.3112316331900473,0.1845863182373918,0.304035576796811,0.008591482718241002
11560605,문래동,CS100006,패스트푸드점,패스트푸드,460317715.75,31521.75,27669.75,14915.0,0.4719406547730755,11~14,207.5,4996.25,9918.75,6739.5,3839.25,1968.5,1892743.5,56350671.5,119076494.75,92891264.75,50345066.5,25790398.25,0.0,50871524.0,217847688.0,58072083.0,130065182.0,3461238.75,4,0.8630380265789168,0.5390363122182167,14603.177670973217,0.0,0.11051393908903667,0.47325505959521613,0.12615652409854053,0.28255523858794696,0.0075192386292597295
11560610,양평1동,CS100006,패스트푸드점,패스트푸드,48521394.5,1271.5,1054.75,490.75,0.4712534480544301,17~21,2.25,137.25,353.5,213.5,216.0,132.25,29982.75,2644475.25,8898334.5,6237880.25,4890667.75,3589616.0,0.0,1464434.5,9255605.0,13672790.5,22699016.75,1429547.75,4,0.8759413336700786,0.4652761317847831,38160.750688163585,0.0,0.030181212124890597,0.1907530707923079,0.2817889024191174,0.46781459980504064,0.029462214858643438
11560620,양평2동,CS100006,패스트푸드점,패스트푸드,249438309.75,11583.5,10113.75,6274.75,0.36911568135100925,17~21,72.0,2207.75,4067.0,1643.5,1330.75,792.75,951956.5,35828495.0,73990353.75,33461629.75,33609950.5,18189275.0,4445100.75,5357570.75,59281358.0,19074854.0,91907302.25,69372124.0,4,0.9169538645084933,0.6204177481151897,21533.932727586653,0.01782044127245374,0.021478540146337727,0.2376593958619061,0.07647122857398211,0.36845704391644674,0.27811335022887357
