행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,2030_유동인구,2030_유동인구비율,새벽_유동인구비중,오전_유동인구비중,점심_유동인구비중,오후_유동인구비중,저녁_유동인구비중,심야_유동인구비중,업종명,월_유동인구추정,카페전환효율,2030_카페전환효율
11110640,이화동,17764456383,1911243,1835868,1071736,0.3166637374101827,11~14,29395,501583,570153,327560,278199,128978,226783376,3691334478,4182662381,3335671889,2563356612,1612942885,18302508,1740480924,5478020328,5072787257,4822046061,632819305,0.5837761756291847,9294.713640808626,0.0010302880991908594,0.09797546778102273,0.30836971365148474,0.2855582601364875,0.2714434912635176,0.035622779068296584,4641848.25,487813.75,1094400.0,886852.75,766398.75,680020.0,726361.75,756409.25,903706.25,760278.25,836755.0,920712.75,463986.25,1981252.75,0.4268241104176553,0.162954325359516,0.1946867285030268,0.1637878295569012,0.18026332506669085,0.19835046309409188,0.09995722070405899,커피-음료,139255447.5,0.013724726998561403,0.018031285172138353
11110650,혜화동,18001333160,1810520,1779762,1107385,0.318076652755795,14~17,52788,686610,420775,238488,269570,111531,513412848,6703725885,4026162165,2303750371,2511208607,1048741137,48987267,802943125,5133451807,5673649840,5647249304,695051817,0.6222095988115265,9942.631487086583,0.002721313280777033,0.04460464777043213,0.285170646050084,0.3151794252998537,0.31371283747742157,0.03861113012143152,8865268.0,1363001.25,3198090.25,1072019.25,1020029.75,994754.25,1217373.75,2108298.75,1767753.75,1134242.0,1145099.25,1611180.75,1098692.75,4270109.5,0.48166727728930475,0.23781556857615585,0.19940217825338163,0.1279422122376898,0.12916690730612995,0.18174078324535706,0.1239322657814744,커피-음료,265958040.0,0.006807540016462747,0.008644469968119866
11110670,창신1동,2446993074,344219,333515,131718,0.28309782586934545,11~14,3277,53669,78049,71536,68078,58906,22744454,370232185,533618761,458134943,458626546,456007109,7558531,379382730,686507109,653938135,596973289,122633280,0.3949387583766847,7108.826282105288,0.0030889057596082104,0.1550403775274437,0.2805513085812682,0.2672415144727132,0.24396198556629017,0.05011590809267652,2828471.5,155053.5,429606.25,419100.25,475996.5,532336.5,816379.0,672353.0,585425.25,396570.0,390769.25,453776.75,329577.75,848706.5,0.3000583530716148,0.23770895340469225,0.20697583482810417,0.14020646840528533,0.1381556257505158,0.1604317915170791,0.11652150286824527,커피-음료,84854145.0,0.004056596174529836,0.005173284286146035
11110680,창신2동,517339425,91682,89820,38401,0.30006439483868763,14~17,809,16540,21861,15553,18712,16345,4694793,94430295,115330014,79859835,93809165,94891828,129995,77851402,146240424,154517815,127312905,11286884,0.4275328434647072,5642.758938504832,0.00025127603603765554,0.1504841855035502,0.2826779033900229,0.2986778264579391,0.2460916351001086,0.021817173512341536,4668053.0,312161.5,728512.75,557677.5,564878.25,972476.25,1532346.25,1319944.5,972193.0,512658.75,511845.5,743965.0,607446.0,1286190.25,0.2755303442355946,0.28276124971160355,0.20826520178755467,0.10982282120618596,0.10964860510366956,0.15937372604809757,0.13012834258736994,커피-음료,140041590.0,0.000654676942756791,0.0009952130591359507
11110690,창신3동,177322210,20676,20276,7693,0.36542174303787883,11~14,79,2746,4947,7158,3636,1710,679301,18229761,32511355,50692852,35633336,17681744,0,33893077,64897541,51365718,27165874,0,0.3794140856184652,8576.233797639776,0.0,0.19113836332177453,0.3659865337793839,0.28967447450604183,0.15320062839279974,0.0,884414.5,114641.25,115962.5,125495.5,136992.5,151451.75,239871.5,262108.25,188724.75,90959.75,88824.0,133422.0,120376.75,241458.0,0.2730145197755125,0.2963635829127632,0.21338947970663077,0.10284742052510445,0.10043254605165339,0.15085912770539153,0.13610897379000458,커피-음료,26532435.0,0.0007792726148203133,0.0010620204480006185
11110700,숭인1동,146017605,17858,17179,6192,0.35781585239297076,14~17,234,1364,4828,5759,2990,2004,1410728,8508856,27896562,42707350,21123825,17969221,0,21691032,45408381,50163066,28067337,687789,0.3604400721811514,8176.593403516631,0.0,0.14855079974774274,0.31097880971270553,0.3435412188824765,0.19221885607560815,0.0047103155814670426,2270714.5,229579.25,330986.25,349052.75,342967.75,390076.25,628052.5,558996.75,466254.5,277160.5,283618.0,399511.0,285174.75,680039.0,0.29948238759209933,0.24617658891067107,0.2053338277445271,0.12205871764151768,0.12490253618409536,0.17594065656426644,0.12558811334494055,커피-음료,68121435.0,0.0002621494981719043,0.0003035120044585678
11110710,숭인2동,1513873587,287310,278540,125653,0.3606502372961552,11~14,2303,57148,68505,48422,56470,45692,11104534,277309671,349800841,264645825,297330260,230566821,23406,268941543,544780300,416084083,274430966,9613289,0.4511129460759675,5269.1294664299885,1.546100031138201e-05,0.1776512552365444,0.3598585143952313,0.274847309955742,0.18127733276847244,0.006350126643698421,5284261.75,393489.25,1030836.0,872206.0,758887.0,895398.25,1333444.75,1268201.0,1125836.75,722992.5,712191.25,826646.75,628393.5,1903042.0,0.36013393923947845,0.23999587075715922,0.21305469018448983,0.1368199635455227,0.13477592210491843,0.1564356175202714,0.11891793588763842,커피-음료,158527852.5,0.0018123629095398235,0.0022009148160331373
11140520,소공동,77684134441,7965827,7363793,3688122,0.47861642177628294,11~14,20160,1072618,2615504,2121804,1192464,341243,104555216,5435596218,18005553177,21793197374,14414322312,6601830412,28456729,16815323791,37108141506,17192877687,5507587067,1031747661,0.5008454202881586,9752.174437255542,0.0003663132659553861,0.21645763207635402,0.47767979617746925,0.22131774796381037,0.07089719292918086,0.01328131758723009,2571007.25,169504.0,419912.5,647984.5,611326.75,419904.0,302375.25,172125.75,590124.75,608622.75,596684.0,470448.5,133000.75,1067897.0,0.41536133357850313,0.0669487610351935,0.22953056627903326,0.23672541180115303,0.23208180373664836,0.18298217556562704,0.05173098986788155,커피-음료,77130217.5,0.10327764212515024,0.11512102758973947
11140540,회현동,36870901227,4874486,4399635,1924049,0.489115714210342,11~14,8246,471151,1452898,1217366,786910,463064,48789491,2703387731,8707869770,7493758920,5114662877,3853319460,16440332,8119956844,18045700247,7512812406,2746561721,429429677,0.43732014132990576,7564.059313535827,0.00044588907384669497,0.2202266983930916,0.48942932357144037,0.20375993414824592,0.07449130966695044,0.011646845146424986,4375223.0,160774.0,545258.0,955819.75,999261.25,798721.0,915388.25,314467.5,961407.5,1113379.25,1066442.75,703203.0,216322.25,1501077.75,0.3430859981308381,0.07187462216211608,0.21973908529919503,0.2544737148255072,0.2437459187794542,0.1607239219578065,0.04944256555608709,커피-음료,131256690.0,0.037137048023990246,0.04272594585234953
11140550,명동,88518475545,9812225,8742803,4356844,0.42001321811235437,11~14,60563,1573452,2783392,2223397,1427329,674670,552231353,12828029129,21120196663,17502516689,11510489797,6519563712,11738576,16129863325,37198785816,19221322346,13379160030,2577605452,0.49833491615903963,9021.243963015524,0.00013261159241307176,0.18222030175836101,0.4202375333168646,0.21714475116811616,0.15114539589193962,0.029119406272305567,5674609.5,372849.5,1146236.75,1316249.0,1295880.75,860172.75,683219.5,387177.75,1244126.5,1287154.75,1287288.75,1127657.0,341205.25,2462485.75,0.4339480540467146,0.06822984912001434,0.21924442554152845,0.22682701778862494,0.22685063174831677,0.19871975331518407,0.06012841059812133,커피-음료,170238285.0,0.05763818050681138,0.05897623299275268
